Date,Open,High,Low,Close,Adj Close,Volume
1986-03-13,0.088542,0.101563,0.088542,0.097222,0.061434,1031788800
1986-03-14,0.097222,0.102431,0.097222,0.100694,0.063628,308160000
1986-03-17,0.100694,0.103299,0.100694,0.102431,0.064725,133171200
1986-03-18,0.102431,0.103299,0.098958,0.099826,0.063079,67766400
1986-03-19,0.099826,0.100694,0.097222,0.098090,0.061982,47894400
1986-03-20,0.098090,0.098090,0.094618,0.095486,0.060337,58435200
1986-03-21,0.095486,0.097222,0.091146,0.092882,0.058692,59990400
1986-03-24,0.092882,0.092882,0.089410,0.090278,0.057046,65289600
1986-03-25,0.090278,0.092014,0.089410,0.092014,0.058143,32083200
1986-03-26,0.092014,0.095486,0.091146,0.094618,0.059788,22752000
1986-03-27,0.094618,0.096354,0.094618,0.096354,0.060885,16848000
1986-03-31,0.096354,0.096354,0.093750,0.095486,0.060337,12873600
1986-04-01,0.095486,0.095486,0.094618,0.094618,0.059788,11088000
1986-04-02,0.094618,0.097222,0.094618,0.095486,0.060337,27014400
1986-04-03,0.096354,0.098958,0.096354,0.096354,0.060885,23040000
